"Overall","V2","V3"
0,"X11",1
0,"Voivodeship_KUJAWSKO.POMORSKIE",2
0,"LegalForm_OSOBA.PRAWNA",3
0,"EMISLegalForm_PL.SPZOO",4
0,"FormaWlasnosci_W£ASNOŒÆ.ZAGRANICZNA",5
0,"SpecialLegalForm_SPÓ£KI.Z.OGRANICZON¥.ODPOWIEDZIALNOŒCI¥",6
0,"MainPKD_Budownictwo",7
0,"RyzykownaDzia³alnoscGlowna_NIE",8
0,"RyzykowneDzialalnosciDodatkowe_TAK",9
0,"NoWebsite_TAK",10
0,"AdresBiuroWirtualne_TAK",11
0,"AdresLokal_NIE",12
0,"CAACImport_TAK",13
0,"CAACEksport_TAK",14
0,"VirtualAccountsPresence_NIE",15
0,"PhoneNotPresent_TAK",16
1.82064507071465e-09,"NoFax_TAK",17
9.12881222135333e-09,"PublicMail_TAK",18
0.000396914915084318,"NoMail_TAK",19
0.00917576831999815,"P3",20
0.0111071026773698,"AdresLokal_BrakDanych",21
0.0257272608906155,"X8",22
0.032116899135766,"ROE",23
0.0595391906109085,"CAACEksport_BrakDanych",24
0.0598702078342233,"RyzykowneDzialalnosciDodatkowe_BrakDanych",25
0.0673826147794355,"NonCurrentLiabilities",26
0.0675226410738998,"MainPKD_InformacjaKomunikacja",27
0.0681205656459085,"A1",28
0.071637484143541,"DividendSum",29
0.0819272257268062,"DepreciationImpairment",30
0.0928484921561188,"DescriptionNull_TAK",31
0.11287598505884,"EmployeeBenefitExpense",32
0.115733530777199,"A5",33
0.137616894864617,"PropertyPlantAndEquipment",34
0.168300631001902,"X9",35
0.174060903761376,"MainNAICSCodes_TransportationUtilities",36
0.187235738190604,"ROA",37
0.193839179146264,"BruttoMargin",38
0.201639650860754,"Voivodeship_£ÓDZKIE",39
0.205777069704287,"PhoneNotPresent_NIE",40
0.223228539639063,"NetSalesRevenue",41
0.236144318267141,"CAACImport_BrakDanych",42
0.303863622741799,"A2",43
0.309570512259112,"MainNAICSCodes_Manufacturing",44
0.340172915863302,"AdresBiuroWirtualne_NIE",45
0.369908752777853,"A4",46
0.381838031145652,"DepreciationAmortization",47
0.44087713141048,"X10",48
0.556627937981823,"Voivodeship_LUBELSKIE",49
0.606401153828371,"ExpiredLicenses",50
0.622228976419485,"Voivodeship_DOLNOŒL¥SKIE",51
0.638486035627232,"RodzajRejestru_REJESTR.PRZEDSIÊBIORCÓW",52
0.643564473161714,"ROS",53
0.658217404244887,"RevertedLicenses",54
0.670172675624476,"AdresBiuroWirtualne_BrakDanych",55
0.703591399926262,"MainNAICSCodes_WholesaleTrade",56
0.712087035308434,"MainNAICSCodes_RetailTrade",57
0.715289064724706,"JednostkiLokalne",58
0.730185893531316,"IncomeTax",59
0.768894747868898,"A3",60
0.791165836045749,"X13",61
0.922017248646779,"OperatingProfitEBIT",62
0.928726028486416,"RyzykownaDzia³alnoscGlowna_TAK",63
0.980721566093361,"X14",64
1.08303088482885,"LatestMarketCapitalization",65
1.08981877952451,"NumberOfEmployees",66
1.10214465310233,"CurrentLiabilities",67
1.1133964817516,"Voivodeship_WIELKOPOLSKIE",68
1.1690772343959,"RetainedEarnings",69
1.27613048446782,"PublicMail_NIE",70
1.47231496706153,"WorkingCapital",71
1.48153018654335,"MainPKD_UslugiPozostale",72
1.87001380822126,"IssuedCapital",73
1.97258109664908,"Voivodeship_PODKARPACKIE",74
2.04030645356434,"Voivodeship_ŒL¥SKIE",75
2.04273757381466,"RegisteredCapitalValue",76
2.12221999698914,"CashandCashEquivalents",77
2.16560357309377,"Voivodeship_Other",78
2.33942520486549,"NetProfitLossForThePeriod",79
2.36208994900455,"CurrentAssets",80
2.61792154424638,"FormaWlasnosci_W£ASNOŒÆ.KRAJOWYCH.OSÓB.FIZYCZNYCH",81
2.62957780803721,"FormaWlasnosci_Other",82
2.67372478914394,"AdresLokal_TAK",83
2.67984233115762,"ActiveLicenses",84
2.75774174460021,"MainPKD_DzialalnoscNaukowaTechniczna",85
2.85267441233305,"NoFax_NIE",86
3.06023004552396,"ProfitBeforeIncomeTax",87
3.08228255305385,"Voivodeship_POMORSKIE",88
3.17081181035121,"Voivodeship_MAZOWIECKIE",89
3.26498819908644,"MainPKD_HandelHurtowy",90
3.33511009574391,"AuditDaysAgo",91
3.39660592845753,"EMISLegalForm_Other",92
3.50261562037874,"RepresentationCount",93
3.53948394225399,"FormaWlasnosci_W£ASNOŒÆ.MIESZANA.W.SEKTORZE.PRYWATNYM",94
3.86438678887006,"MainPKD_Nieruchomosci",95
3.93913094920169,"AffiliatesCount",96
4.17625417273248,"MainPKD_AdministracjaLacznoscMedia",97
4.30239224233142,"RemovalDaysAgo",98
4.31696140477673,"Voivodeship_ZACHODNIOPOMORSKIE",99
4.95506897062601,"MainPKD_PrzetworstwoPrzemyslowe",100
5.14088257498486,"MainPKD_FinanseUbezpieczenia",101
5.20705904625328,"SecondaryPKDCount",102
5.37204425316491,"Wiek",103
5.45543874164637,"DeclaredAccountsCount",104
5.7295254378979,"Voivodeship_MA£OPOLSKIE",105
5.85476796678098,"RodzajRejestru_Other",106
5.85480218807882,"MainNAICSCodes_Services",107
5.87745543097413,"PreviousNameChangeYearsAgo",108
5.92834849461969,"ExecutivesCount",109
5.99531529800121,"MainNAICSCodes_Other",110
6.13176447350931,"EMISLegalForm_PL.SJ",111
6.2264405812996,"NoMail_NIE",112
6.27586160677496,"FormaWlasnosci_W£ASNOŒÆ.PRYWATNA.KRAJOWA.POZOSTA£A",113
6.39103827667374,"TotalEquity",114
6.43740248478007,"CAACEksport_NIE",115
6.52315108669474,"LegalForm_JEDNOSTKA.ORGANIZACYJNA.NIEMAJ¥CA.OSOBOWOŒCI.PRAWNEJ",116
7.88853155351571,"ExternalIdsOthers",117
7.97561597805563,"MainPKD_BrakDanych",118
8.29752059341705,"SpecialLegalForm_SPÓ£KI.JAWNE",119
9.04440993622022,"SpecialLegalForm_Other",120
9.29175722676965,"NoWebsite_NIE",121
9.62147581609344,"MainNAICSCodes_FinanceInsuranceRealEstate",122
10.3543454922906,"MainPKD_TransportMagazyny",123
10.3720505928529,"CAACImport_NIE",124
10.3896255656348,"RyzykownaDzia³alnoscGlowna_BrakDanych",125
10.9717044752976,"VirtualAccountsPresence_BrakDanych",126
11.9373745779982,"OwnersCount",127
12.4787055229245,"TotalAssets",128
13.28390350542,"FormaWlasnosci_BrakDanych",129
15.0073288152075,"TotalLiabilities",130
15.6766417308268,"DescriptionNull_NIE",131
15.8374292293305,"PreviousNamesCount",132
17.2054768285639,"EMISLegalForm_PL.S.NIA",133
18.9684976176387,"RyzykowneDzialalnosciDodatkowe_NIE",134
19.3160830463158,"SpecialLegalForm_SPÓ£KI.AKCYJNE",135
22.5857894428142,"VirtualAccountsPresence_TAK",136
25.380610385084,"EMISLegalForm_PL.SK",137
26.1085033060453,"RodzajRejestru_REJESTR.STOWARZYSZEÑ..INNYCH.ORGANIZACJI.SPO£ECZNYCH.I.ZAWODOWYCH..FUNDACJI.ORAZ.SAMODZIELNYCH.PUBLICZNYCH.ZAK£ADÓW.OPIEKI.ZDROWOTNEJ",138
31.4615113621907,"EMISLegalForm_PL.SA",139
32.5207372275188,"SpecialLegalForm_SPÓ£DZIELNIE",140
39.4906780498875,"SpecialLegalForm_SPÓ£KI.KOMANDYTOWE",141
69.3279368161819,"LegalForm_Other",142
100,"PhoneNotPresent_BrakDanych",143
