,Overall,V2,V3,CategoryName
0,0.0,PCClient_Outreach_Major_last_5_checklists,1,Documentation standard
1,0.0,PCControl_Minor_last_10_checklists,2,Documentation standard
2,0.0,DRControl_Critical_last_10_checklists,3,Documentation standard
3,0.0,Category_BE_Nord,4,Documentation standard
4,0.0,ProcessingCountry_BMG,5,Documentation standard
5,0.0,TLAssignedName_Michalik__J___Justyna_,6,Documentation standard
6,0.0,CDDRiskLevel_Normal,7,Documentation standard
7,0.0,Weekday_Tuesday,8,Documentation standard
8,0.0,ESR_Full_ESR_review,9,Documentation standard
9,4.126482527784071e-15,FATCA_TRUE,10,Documentation standard
10,3.66428720695086e-12,MLRORequest_FALSE,11,Documentation standard
11,5.195423623646389e-12,CRS_TRUE,12,Documentation standard
12,5.95371390605505e-12,PartyType_Subsidiary,13,Documentation standard
13,0.00213754353481864,DRFATCA.CRS_Minor_last_10_checklists,14,Documentation standard
14,0.00647652910989561,PCScreening_Critical_last_10_checklists,15,Documentation standard
15,0.0347718940784221,DRFATCA.CRS_Major_last_5_checklists,16,Documentation standard
16,0.0624737447463703,CORisk_factors_Minor_last_5_checklists,17,Documentation standard
17,0.0862361499250925,PCESR_Major_last_5_checklists,18,Documentation standard
18,0.0921758579114631,DRRisk_factors_Minor_last_10_checklists,19,Documentation standard
19,0.09967168818674901,DRScreening_Critical_last_5_checklists,20,Documentation standard
20,0.10483085234402699,CODocumentation_standard_Minor_last_5_checklists,21,Documentation standard
21,0.107474189615501,TLAssignedName_Kolodziejczyk__A___Anna_,22,Documentation standard
22,0.15214127433379,PCFATCA.CRS_Critical_last_10_checklists,23,Documentation standard
23,0.183186875636314,HourNumeric,24,Documentation standard
24,0.203044767402992,COControl_Major_last_5_checklists,25,Documentation standard
25,0.21043836931771498,COControl_Critical_last_10_checklists,26,Documentation standard
26,0.223330239361615,COControl_Major_last_10_checklists,27,Documentation standard
27,0.24131875123546304,TLAssignedName_Yadav__N___Neha_,28,Documentation standard
28,0.257472024492035,CODocumentation_standard_Major_last_5_checklists,29,Documentation standard
29,0.258140497069702,AnalystGroupPercProcessed,30,Documentation standard
30,0.271382738921358,PCFATCA.CRS_Major_last_5_checklists,31,Documentation standard
31,0.302077702070755,PCRisk_factors_Critical_last_10_checklists,32,Documentation standard
32,0.309606329662507,DRODD_.Office_Due_Diligence._._local_requirements_.if_applicable._Major_last_5_checklists,33,Documentation standard
33,0.317627408718463,CORelationship_Major_last_5_checklists,34,Documentation standard
34,0.323673161873833,ProcessingUnit_Gdansk,35,Documentation standard
35,0.33773311510584897,DRDocumentation_standard_Minor_last_5_checklists,36,Documentation standard
36,0.3522568586297701,PCControl_Critical_last_10_checklists,37,Documentation standard
37,0.357763007051294,DRControl_Major_last_5_checklists,38,Documentation standard
38,0.36276196919027204,PCODD_.Office_Due_Diligence._._local_requirements_.if_applicable._Major_last_5_checklists,39,Documentation standard
39,0.36746910670424104,PCControl_Major_last_5_checklists,40,Documentation standard
40,0.401419014963948,PCESR_Minor_last_10_checklists,41,Documentation standard
41,0.40964796882873106,CORelationship_Critical_last_5_checklists,42,Documentation standard
42,0.44229322468514504,COClient_Outreach_Major_last_10_checklists,43,Documentation standard
43,0.503935360495117,Weekday_Friday,44,Documentation standard
44,0.53051544065486,CODocumentation_standard_Minor_last_10_checklists,45,Documentation standard
45,0.537730218747326,PCFATCA.CRS_Critical_last_5_checklists,46,Documentation standard
46,0.545965406853313,DRScreening_Major_last_10_checklists,47,Documentation standard
47,0.5539865084885289,Cases_last_30_days_of_DR,48,Documentation standard
48,0.56015986557654,Weekday_Monday,49,Documentation standard
49,0.5791026461772729,PCODD_.Office_Due_Diligence._._local_requirements_.if_applicable._Major_last_10_checklists,50,Documentation standard
50,0.5953829870606729,CODocumentation_standard_Major_last_10_checklists,51,Documentation standard
51,0.6071728469999661,PCODD_.Office_Due_Diligence._._local_requirements_.if_applicable._Critical_last_5_checklists,52,Documentation standard
52,0.6194014650043361,DRDocumentation_standard_Major_last_10_checklists,53,Documentation standard
53,0.6202807609843439,DRFATCA.CRS_Major_last_10_checklists,54,Documentation standard
54,0.6637469555229539,DRFATCA.CRS_Minor_last_5_checklists,55,Documentation standard
55,0.713721321703907,DRControl_Major_last_10_checklists,56,Documentation standard
56,0.7205584444515699,Cases_last_5_days_of_DR,57,Documentation standard
57,0.7253083203461379,CORisk_factors_Major_last_10_checklists,58,Documentation standard
58,0.7292431175830741,DRODD_.Office_Due_Diligence._._local_requirements_.if_applicable._Major_last_10_checklists,59,Documentation standard
59,0.739249061287966,Weekday_Wednesday,60,Documentation standard
60,0.775253977372802,CORisk_factors_Major_last_5_checklists,61,Documentation standard
61,0.796845072002047,Category_FI,62,Documentation standard
62,0.817696357576399,PCRisk_factors_Major_last_10_checklists,63,Documentation standard
63,0.850122258225011,PCDocumentation_standard_Major_last_10_checklists,64,Documentation standard
64,0.89951728652365,PCControl_Minor_last_5_checklists,65,Documentation standard
65,0.915929067433777,DRDocumentation_standard_Major_last_5_checklists,66,Documentation standard
66,0.930082658395326,PCClient_Outreach_Major_last_10_checklists,67,Documentation standard
67,0.9464140976536891,COFATCA.CRS_Major_last_5_checklists,68,Documentation standard
68,0.955355682055058,DRRisk_factors_Major_last_10_checklists,69,Documentation standard
69,0.979256713148562,DRScreening_Major_last_5_checklists,70,Documentation standard
70,0.9829416080617029,PCScreening_Major_last_10_checklists,71,Documentation standard
71,0.985633835347593,PCESR_Major_last_10_checklists,72,Documentation standard
72,1.0109784900527599,CORelationship_Critical_last_10_checklists,73,Documentation standard
73,1.04957370627271,PCRisk_factors_Minor_last_5_checklists,74,Documentation standard
74,1.0648391775750998,CasesGroupPercProcessed,75,Documentation standard
75,1.07155664682326,DRControl_Minor_last_5_checklists,76,Documentation standard
76,1.0812439151289601,COScreening_Major_last_10_checklists,77,Documentation standard
77,1.09635374894515,CDDRiskLevel_Low,78,Documentation standard
78,1.1033747423973201,PCRelationship_Critical_last_10_checklists,79,Documentation standard
79,1.1111611641644998,PCRelationship_Major_last_10_checklists,80,Documentation standard
80,1.1650253533956598,CORisk_factors_Critical_last_10_checklists,81,Documentation standard
81,1.16626521011964,CORelationship_Major_last_10_checklists,82,Documentation standard
82,1.18448961906095,Cases_last_5_days_of_CO,83,Documentation standard
83,1.19581113116081,PCControl_Critical_last_5_checklists,84,Documentation standard
84,1.23894108570249,PCDocumentation_standard_Major_last_5_checklists,85,Documentation standard
85,1.25960681570605,PCRelationship_Major_last_5_checklists,86,Documentation standard
86,1.3887541578243703,PCScreening_Major_last_5_checklists,87,Documentation standard
87,1.42496785463471,DRControl_Minor_last_10_checklists,88,Documentation standard
88,1.45450713680491,DRControl_Critical_last_5_checklists,89,Documentation standard
89,1.4709153060084599,COControl_Critical_last_5_checklists,90,Documentation standard
90,1.48041312959306,ProcessingCountry_Other,91,Documentation standard
91,1.50980714061437,TeamExperience,92,Documentation standard
